sensor_id,sensor_parameter,station_id
642,NO2,114
644,O3,114
660,CO,117
14395,PM10,117
658,C6H6,117
665,NO2,117
670,PM2.5,117
667,O3,117
672,SO2,117
737,CO,129
740,NO2,129
744,PM2.5,129
285,CO,52
14397,PM10,52
282,C6H6,52
291,NO2,52
293,O3,52
297,SO2,52
608,CO,109
618,PM10,109
605,C6H6,109
614,NO2,109
616,O3,109
621,SO2,109
50,NO2,11
52,O3,11
56,SO2,11
92,PM10,14
88,NO2,14
94,SO2,14
101,PM10,16
99,NO2,16
102,SO2,16
224,PM10,38
221,NO2,38
223,O3,38
225,SO2,38
14706,PM10,67
397,NO2,70
402,SO2,70
441,NO2,74
444,O3,74
450,SO2,74
493,O3,84
759,PM10,132
757,NO2,132
760,SO2,132
771,CO,134
14735,C6H6,134
776,NO2,134
782,SO2,134
14707,CO,9153
14730,PM10,9153
14734,C6H6,9153
14727,NO2,9153
14731,PM2.5,9153
14729,O3,9153
14733,SO2,9153
16415,CO,10007
16412,PM10,10007
16417,NO2,10007
16414,O3,10007
16413,SO2,10007
16422,CO,10008
16419,PM10,10008
16393,NO2,10008
16421,O3,10008
16420,SO2,10008
952,CO,156
965,PM10,156
949,C6H6,156
959,NO2,156
966,PM2.5,156
969,SO2,156
987,CO,158
995,PM10,158
991,NO2,158
996,PM2.5,158
993,O3,158
998,SO2,158
2060,CO,295
2069,PM10,295
2064,NO2,295
2071,PM2.5,295
2066,O3,295
2076,SO2,295
2080,CO,296
2087,PM10,296
2079,C6H6,296
2083,NO2,296
16805,PM2.5,296
2085,O3,296
2088,SO2,296
2199,PM10,314
2195,NO2,314
2197,O3,314
2204,SO2,314
2370,CO,355
2377,PM10,355
2373,NO2,355
2378,PM2.5,355
2382,SO2,355
16228,CO,10058
16250,PM10,10058
16249,C6H6,10058
16231,NO2,10058
2035,PM10,291
2031,NO2,291
2033,O3,291
2039,SO2,291
2219,NO2,319
2221,O3,319
2222,SO2,319
2239,CO,322
2245,PM10,322
2242,NO2,322
2244,O3,322
2248,SO2,322
16642,CO,331
16630,PM10,331
16638,NO2,331
17716,O3,331
16633,SO2,331
3802,PM10,562
14379,PM2.5,562
16037,NO2,9913
16041,O3,9913
16043,SO2,9913
17232,CO,10434
17239,PM10,10434
17235,NO2,10434
17240,PM2.5,10434
17237,O3,10434
17241,SO2,10434
16160,NO2,590
16158,O3,590
16149,SO2,590
16147,PM10,10374
3836,CO,568
3843,PM10,568
3834,C6H6,568
3839,NO2,568
3844,PM2.5,568
3841,O3,568
3847,SO2,568
3902,PM10,584
18030,C6H6,584
14781,O3,584
3970,PM10,600
3964,C6H6,600
3968,NO2,600
3972,SO2,600
4379,CO,671
14466,PM10,671
4376,C6H6,671
4383,NO2,671
4385,O3,671
4391,SO2,671
4196,PM10,638
4192,NO2,638
4194,O3,638
4200,SO2,638
4274,CO,659
14416,PM10,659
4278,NO2,659
14448,O3,659
4285,SO2,659
4336,PM10,665
14771,C6H6,665
4333,NO2,665
4338,PM2.5,665
14772,O3,665
4339,SO2,665
5716,CO,870
5721,PM10,870
5718,NO2,870
5720,O3,870
5722,SO2,870
16424,NO2,882
5826,O3,882
16396,SO2,882
16173,PM10,10005
16216,NO2,10005
16171,O3,10005
16214,SO2,10005
16174,CO,10030
16178,PM10,10030
16181,NO2,10030
16180,O3,10030
16177,SO2,10030
6062,CO,943
6067,PM10,943
6065,NO2,943
6071,SO2,943
6076,CO,944
6085,PM10,944
6074,C6H6,944
6081,NO2,944
6083,O3,944
6087,SO2,944
14891,CO,952
14972,PM10,952
16581,C6H6,952
6161,NO2,952
6165,PM2.5,952
14890,O3,952
6168,SO2,952
5895,CO,902
5904,PM10,902
5899,NO2,902
5902,O3,902
5906,SO2,902
5973,CO,920
14893,PM10,920
5979,NO2,920
5984,SO2,920
6104,NO2,946
6106,O3,946
6108,SO2,946
14892,PM10,950
16526,C6H6,950
6140,NO2,950
6142,O3,950
6144,SO2,950
17960,CO,10834
17958,PM10,10834
17956,C6H6,10834
17957,NO2,10834
17945,SO2,10834
6352,PM10,986
6348,NO2,986
6354,PM2.5,986
6350,O3,986
6357,SO2,986
6362,CO,987
6360,C6H6,987
6379,NO2,987
6383,PM2.5,987
6385,SO2,987
6396,PM10,989
6238,PM10,966
6236,NO2,966
6240,SO2,966
6212,NO2,961
6214,O3,961
6218,SO2,961
6322,PM10,983
6320,NO2,983
6324,SO2,983
5277,CO,805
5286,PM10,805
5274,C6H6,805
5281,NO2,805
5283,O3,805
5290,SO2,805
5312,PM10,809
5309,NO2,809
5317,SO2,809
5343,CO,813
5346,NO2,813
5354,SO2,813
5376,PM10,814
5371,NO2,814
5378,PM2.5,814
5373,O3,814
5382,SO2,814
5480,PM10,837
5478,NO2,837
5481,SO2,837
5505,PM10,841
5501,NO2,841
5508,SO2,841
5564,CO,848
5573,PM10,848
5568,NO2,848
5570,O3,848
5579,SO2,848
5457,CO,834
5466,PM10,834
5454,C6H6,834
5461,NO2,834
5463,O3,834
5470,SO2,834
5167,PM10,789
16705,C6H6,789
5164,O3,789
5171,SO2,789
16550,CO,10158
16549,NO2,10158
16551,PM2.5,10158
5228,CO,798
5232,PM10,798
5230,NO2,798
5233,SO2,798
5246,CO,800
5256,PM10,800
5250,NO2,800
5253,O3,800
5260,SO2,800
5205,CO,795
5212,PM10,795
5208,NO2,795
5210,O3,795
5216,SO2,795
5540,CO,845
5547,PM10,845
5543,NO2,845
5545,O3,845
5550,SO2,845
5618,PM10,853
5600,C6H6,853
5612,NO2,853
5619,PM2.5,853
5615,O3,853
5623,SO2,853
14916,PM10,856
14917,NO2,856
14915,SO2,856
14498,C6H6,9000
19742,CO,11195
19749,PM10,11195
19740,C6H6,11195
19745,NO2,11195
19753,PM2.5,11195
19747,O3,11195
19756,SO2,11195
5085,PM10,769
5083,NO2,769
14878,O3,769
5087,SO2,769
17249,C6H6,785
18012,CO,10441
18145,PM10,10441
19816,PM2.5,10441
18069,O3,10441
17326,SO2,10441
17800,PM10,10794
17796,NO2,10794
17799,SO2,10794
5754,CO,877
5766,PM10,877
5752,C6H6,877
5761,NO2,877
5768,PM2.5,877
5763,O3,877
5770,SO2,877
5673,CO,861
5683,PM10,861
5671,C6H6,861
5678,NO2,861
5680,O3,861
5686,SO2,861
2745,CO,400
2750,PM10,400
16500,C6H6,400
2747,NO2,400
2752,PM2.5,400
2770,PM10,401
17896,C6H6,401
2766,NO2,401
2772,PM2.5,401
2768,O3,401
2774,SO2,401
2783,CO,402
2792,PM10,402
2779,C6H6,402
2788,NO2,402
2794,PM2.5,402
2797,SO2,402
16377,PM10,10121
16516,NO2,10121
16786,PM10,10123
16784,PM10,10139
17309,PM10,10447
3070,PM10,444
3066,NO2,444
3068,O3,444
3073,SO2,444
16465,CO,10120
16457,PM10,10120
16460,NO2,10120
16494,PM2.5,10120
2941,PM10,426
2938,NO2,426
2944,SO2,426
14753,NO2,9175
14756,O3,9175
14751,SO2,9175
17184,PM10,10414
17185,PM2.5,10414
17271,PM10,10438
17270,C6H6,10438
17266,NO2,10438
17272,PM2.5,10438
17269,O3,10438
17265,SO2,10438
3996,CO,605
18157,C6H6,605
4001,NO2,605
4005,PM2.5,605
4006,SO2,605
4024,PM10,609
18156,O3,609
4040,NO2,612
4042,O3,612
4045,SO2,612
4079,PM10,618
4075,NO2,618
4082,SO2,618
16251,CO,10054
16257,PM10,10054
16258,NO2,10054
16254,PM2.5,10054
16253,O3,10054
16255,SO2,10054
4676,CO,729
4681,PM10,729
4679,NO2,729
4683,SO2,729
4695,PM10,730
4686,C6H6,730
4691,NO2,730
4697,SO2,730
4701,CO,731
4706,PM10,731
4703,NO2,731
4707,SO2,731
4709,CO,732
4715,PM10,732
4712,NO2,732
4714,O3,732
4717,SO2,732
4720,CO,733
4723,NO2,733
4725,O3,733
4730,SO2,733
4733,CO,734
4738,PM10,734
4736,NO2,734
4741,SO2,734
4755,CO,736
4761,PM10,736
4758,NO2,736
4762,PM2.5,736
4760,O3,736
4764,SO2,736
4774,PM10,738
4769,NO2,738
4772,O3,738
4777,SO2,738
4793,PM10,739
4791,NO2,739
4632,CO,725
16071,PM10,725
4629,C6H6,725
4638,NO2,725
4640,O3,725
4649,SO2,725
4806,CO,740
4817,PM10,740
16057,C6H6,740
4812,NO2,740
4819,PM2.5,740
4814,O3,740
4822,SO2,740
4834,CO,741
4845,PM10,741
4840,NO2,741
4842,O3,741
4848,SO2,741
4860,CO,742
16070,PM10,742
4866,NO2,742
4868,O3,742
4873,SO2,742
4885,CO,743
4891,NO2,743
4893,O3,743
4898,SO2,743
4959,O3,750
3023,PM10,437
3020,NO2,437
3026,SO2,437
3055,NO2,443
3057,O3,443
3058,SO2,443
3116,CO,449
3123,PM10,449
3120,NO2,449
15246,O3,449
3127,SO2,449
3188,CO,459
3195,PM10,459
16706,C6H6,459
3191,NO2,459
3193,O3,459
3198,SO2,459
14804,NO2,9179
14826,O3,9179
16486,NO2,10119
16488,O3,10119
16498,PM10,10124
16905,PM10,10254
16904,SO2,10254
3576,CO,530
3584,PM10,530
3575,C6H6,530
3580,NO2,530
3585,PM2.5,530
3591,O3,531
3654,PM10,538
3650,NO2,538
18038,PM2.5,538
3730,PM10,550
3725,NO2,550
3731,PM2.5,550
3727,O3,550
3736,SO2,550
3409,CO,497
3407,C6H6,497
3412,NO2,497
3414,O3,497
3418,SO2,497
3420,CO,501
3429,PM10,501
3419,C6H6,501
3425,NO2,501
14376,PM2.5,501
16765,O3,501
3434,SO2,501
3487,CO,515
3497,PM10,515
3486,C6H6,515
3492,NO2,515
14377,PM2.5,515
3494,O3,515
3502,SO2,515
3199,CO,460
3201,NO2,460
3203,O3,460
3205,SO2,460
3229,NO2,466
3231,O3,466
3237,SO2,466
3257,NO2,471
14378,PM2.5,471
3259,O3,471
3265,SO2,471
16046,CO,485
17225,PM10,485
16048,NO2,485
16044,PM2.5,485
16050,O3,485
16051,SO2,485
3339,NO2,488
14779,PM2.5,488
14352,O3,488
3348,SO2,488
3526,PM10,517
3528,PM2.5,517
1888,CO,266
1900,PM10,266
1885,C6H6,266
1895,NO2,266
16472,PM2.5,266
1897,O3,266
1902,SO2,266
18009,C6H6,236
15727,NO2,236
1676,O3,236
14348,SO2,236
1741,O3,248
16744,PM10,285
14367,C6H6,285
2001,NO2,285
2008,SO2,285
15688,NO2,9593
18039,NO2,10874
18042,O3,10874
18041,SO2,10874
2411,CO,361
2421,PM10,361
2410,C6H6,361
2416,NO2,361
2418,O3,361
2425,SO2,361
2649,CO,387
14428,PM10,387
2647,C6H6,387
2657,NO2,387
2664,PM2.5,387
2659,O3,387
2668,SO2,387
2504,NO2,374
2506,O3,374
2510,SO2,374
2519,CO,376
2528,PM10,376
2523,NO2,376
2525,O3,376
2532,SO2,376
2554,CO,379
2563,PM10,379
2559,NO2,379
19721,PM2.5,379
14633,O3,379
2566,SO2,379
2589,CO,382
14618,PM10,382
2594,NO2,382
2596,O3,382
2601,SO2,382
853,PM10,145
850,NO2,145
855,SO2,145
1405,PM10,206
1407,PM2.5,206
1403,O3,206
1416,CO,208
1426,PM10,208
1414,C6H6,208
1421,NO2,208
1429,SO2,208
806,CO,142
812,PM10,142
809,NO2,142
814,SO2,142
828,PM10,143
824,NO2,143
831,SO2,143
1048,C6H6,164
1061,NO2,164
1063,O3,164
1283,NO2,190
1285,O3,190
1289,SO2,190
1607,CO,232
1600,C6H6,232
1635,NO2,232
1640,O3,232
1650,SO2,232
